mem_id,transaction_id,description,amount,category,date
1000564012245885,100056405788551551,BURGER KING #82          BEAVERCREEK  OH~~XXXXX~~XXXXXXXXXXXXXXXX~~XXXXX~~0~~~~0079,6.6,Restaurants/Dining,2014-09-08
1000564012245885,100056405788551556,THE OLIVE GARD0          FAIRBORN     OH~~XXXXX~~XXXXXXXXXXXXXXXX~~XXXXX~~0~~~~0079,37.94,Restaurants/Dining,2014-09-08
1000564012245885,100056405795043410,BIG LOTS  164 WOODMAN    DAYTON       OH~~XXXXX~~XXXXXXXXXXXXXXXX~~XXXXX~~0~~~~0066,21.45,Home Improvement,2014-09-09
1000564012245885,100056405756547035,DAIRY QUEEN #13          LEXINGTON    KY~~XXXXX~~XXXXXXXXXXXXXXXX~~XXXXX~~0~~~~0079,10.13,Restaurants/Dining,2014-09-02
1000564012245885,100056405747493027,KANGAROO EXPRES          HENDERSON    KY~~XXXXX~~XXXXXXXXXXXXXXXX~~XXXXX~~0~~~~0079,26.02,Postage and Shipping,2014-09-02
1000564012245885,100056405756547036,LITTLE CAESARS           LEXINGTON    KY~~XXXXX~~XXXXXXXXXXXXXXXX~~XXXXX~~0~~~~0079,10.59,Restaurants/Dining,2014-09-02
1000564012245885,100056405756547025,SHELL OIL XXXXX          LEXINGTON    KY~~XXXXX~~XXXXXXXXXXXXXXXX~~XXXXX~~0~~~~0079,5,Gasoline/Fuel,2014-09-02
1000564012245885,100056405756547026,SHELL Service S          LEXINGTON    KY~~XXXXX~~XXXXXXXXXXXXXXXX~~XXXXX~~0~~~~0066,5.61,Gasoline/Fuel,2014-09-02
1000564012245885,100056405756547031,SHELL OIL XXXXX          LEXINGTON    KY~~XXXXX~~XXXXXXXXXXXXXXXX~~XXXXX~~0~~~~0079,9.85,Gasoline/Fuel,2014-09-02
1000564012245885,100056405756547029,SHELL OIL XXXXX          LEXINGTON    KY~~XXXXX~~XXXXXXXXXXXXXXXX~~XXXXX~~0~~~~0079,7.52,Gasoline/Fuel,2014-09-02
1000564012245885,100056405756547030,SHELL OIL XXXXX          LEXINGTON    KY~~XXXXX~~XXXXXXXXXXXXXXXX~~XXXXX~~0~~~~0079,9.13,Gasoline/Fuel,2014-09-02
1000564012245885,100056405763804995,AMAZON MKTPLACE          AMZN.COM BILLWA~~XXXXX~~XXXXXXXXXXXXXXXX~~XXXXX~~0~~~~0079,17.79,General Merchandise,2014-09-03
1000564012245885,100056405763804997,AMAZON MKTPLACE          AMZN.COM BILLWA~~XXXXX~~XXXXXXXXXXXXXXXX~~XXXXX~~0~~~~0079,44.74,General Merchandise,2014-09-03
1000564012245885,100056405763804992,EXPERIAN    *CR          866-XXXXXXX  CA~~XXXXX~~XXXXXXXXXXXXXXXX~~XXXXX~~0~~~~0079,12.95,Online Services,2014-09-03
1000564012245885,100056405761259787,LITTLE CAESARS           LEXINGTON    KY~~XXXXX~~XXXXXXXXXXXXXXXX~~XXXXX~~0~~~~0079,10.59,Restaurants/Dining,2014-09-03
